"","name","id","class","mass","fall_found","year","lat","long"
"731","Jiddat al Harasis ",56259,"L5",242.9,"Found",2011,19.32123,55.33573
"732","Jiddat al Harasis ",56260,"H4-6",127.2,"Found",2011,19.32947,55.31665
"733","Jiddat al Harasis ",56261,"L6",92,"Found",2011,19.38637,55.31918
"734","Jiddat al Harasis ",56262,"H4-5",278.2,"Found",2011,19.41828,55.31805
"735","Jiddat al Harasis ",56263,"H5",2222,"Found",2011,19.54542,55.43347
"736","Jiddat al Harasis ",56264,"L5",70.7,"Found",2011,19.5979,55.53353
"737","Jiddat al Harasis ",56265,"H6",153.1,"Found",2011,19.84552,56.73
"738","Jiddat al Harasis ",56266,"L6",175.3,"Found",2011,19.75308,56.73135
"739","Jiddat al Harasis ",56267,"L5",163.5,"Found",2011,19.70205,56.72473
"740","Jiddat al Harasis ",56268,"L5",364.2,"Found",2011,19.66132,56.6766
"741","El Mdano ",56280,"CK5",180,"Found",2011,-24.85,-70.53333
"743","El Mdano ",56313,"H3",29,"Found",2011,-24.85,-70.53333
"745","Sayh al Uhaymir ",56352,"H6",2075,"Found",2011,21.04035,57.04358
"746","Jiddat al Harasis ",56353,"L5/6",942,"Found",2011,19.80792,56.45603
"747","Dhofar ",56354,"H6",453,"Found",2011,19.13952,54.66558
"748","Dhofar ",56355,"L6",1140,"Found",2011,18.9842,54.64507
"749","Dhofar ",56356,"H6",482,"Found",2011,19.00318,54.611
"750","Dhofar ",56357,"H6",1763,"Found",2011,18.49222,54.1814
"751","Dhofar ",56358,"H5",2222,"Found",2011,18.57053,54.164
"752","Dhofar ",56359,"L6",782,"Found",2011,19.11582,54.59603
"753","El Mdano ",56371,"L6",51,"Found",2011,-24.85,-70.53333
"754","El Mdano ",56372,"H5",163,"Found",2011,-24.85,-70.53333
"755","El Mdano ",56373,"H4",19.9,"Found",2011,-24.85,-70.53333
"756","El Mdano ",56374,"LL6",67,"Found",2011,-24.85,-70.53333
"757","El Mdano ",56375,"H4",42.4,"Found",2011,-24.85,-70.53333
"758","El Mdano ",56376,"L4",186,"Found",2011,-24.85,-70.53333
"759","El Mdano ",56377,"H5",14.1,"Found",2011,-24.85,-70.53333
"760","El Mdano ",56378,"L6",1228,"Found",2011,-24.85,-70.53333
"761","El Mdano ",56379,"H5",230,"Found",2011,-24.85,-70.53333
"762","Dhofar ",56380,"L3",3687,"Found",2011,19.17277,54.92233
"763","Dhofar ",56381,"L4",1300,"Found",2011,19.18085,54.9247
"764","Kumtag ",56383,"L4",557,"Found",2011,41.5,93.55
"765","Kumtag ",56384,"H5",1260,"Found",2011,41.5,93.55
"767","Anthony Gap",56391,"L6",347.36,"Found",2011,32.00584,-106.56028
"768","Jiddat al Harasis ",56413,"H5",1.82,"Found",2011,19.66005,55.70383
"769","Jiddat al Harasis ",56414,"H5",27.1,"Found",2011,19.66465,55.69017
"770","Jiddat al Harasis ",56415,"LL6",387,"Found",2011,19.04955,55.5607
"777","Dhofar ",56423,"H3",1050,"Found",2011,19.1823,54.88755
"778","Tin as Sawwan",56556,"L4-5",1684,"Found",2011,32.7605,9.1002
"789","El Mdano ",56588,"L4",72,"Found",2011,-24.85,-70.53333
"790","Biduna Blowhole ",56590,"H5",114.5,"Found",2011,-31.03278,131.28553
"791","Dhofar ",56591,"LL7",21.5,"Found",2011,19.24528,54.46278
"792","El Mdano ",56592,"L6",24.5,"Found",2011,-24.85,-70.53333
"793","El Mdano ",56593,"H4",13.4,"Found",2011,-24.85,-70.53333
