"","name","class","mass","fall_found","year","lat","long","continent","country","iso3","masscategory"
"8477","sayh al uhaymir","h",506.3,"Found",2005,20.84918,56.94902,"Asia","Oman","OMN","greater than 100g"
"8478","sayh al uhaymir","h",8507.7,"Found",2005,21.01332,57.09173,"Asia","Oman","OMN","greater than 100g"
"8479","sayh al uhaymir","l",23.16,"Found",2005,21.26852,57.31615,"Asia","Oman","OMN","10g to 100g"
"8480","sayh al uhaymir","l",10006.7,"Found",2005,20.93015,57.14505,"Asia","Oman","OMN","greater than 100g"
"8481","sayh al uhaymir","h",112.41,"Found",2005,20.92558,57.12225,"Asia","Oman","OMN","greater than 100g"
"8554","hambleton","pallasite",17600,"Found",2005,54.24028,-1.19889,"Europe","United Kingdom","GBR","greater than 100g"
"8713","buck mountains","l",34200,"Found",2005,34.7345,-114.21717,"North America","United States of America","USA","greater than 100g"
"8714","coyote spring","h",240,"Found",2005,36.99367,-114.99367,"North America","United States of America","USA","greater than 100g"
"8715","jiddat al harasis","l",220.3,"Found",2005,19.89152,56.32853,"Asia","Oman","OMN","greater than 100g"
"8716","metameur","ll",748,"Found",2005,33.35,10.4,"Africa","Tunisia","TUN","greater than 100g"
"8717","metameur","h",17,"Found",2005,33.35,10.43333,"Africa","Tunisia","TUN","10g to 100g"
"8718","metameur","l",126,"Found",2005,33.40333,10.45833,"Africa","Tunisia","TUN","greater than 100g"
"8738","ramlat as sahmah","l",23.5,"Found",2005,20.30678,56.24737,"Asia","Oman","OMN","10g to 100g"
"8739","randsburg","l",112.9,"Found",2005,35.4005,-117.66617,"North America","United States of America","USA","greater than 100g"
"8741","adam talha","ll",259.3,"Found",2005,22.9935,-10.15367,"Africa","Mauritania","MRT","greater than 100g"
"8744","dar al gani","ll",32.1,"Found",2005,27.43333,16,"Africa","Libya","LBY","10g to 100g"
"8745","great sand sea","l",10.9,"Found",2005,25.3735,25.70617,"Africa","Egypt","EGY","10g to 100g"
"8746","istifane","h",131.6,"Found",2005,31.49852,-5.71742,"Africa","Morocco","MAR","greater than 100g"
"8747","istifane","h",40,"Found",2005,31.49848,-5.7174,"Africa","Morocco","MAR","10g to 100g"
"8748","istifane","l",18.5,"Found",2005,31.48583,-5.71712,"Africa","Morocco","MAR","10g to 100g"
"8783","rhall amane","h",224,"Found",2005,23.2925,-10.17483,"Africa","Mauritania","MRT","greater than 100g"
"8784","rhall amane","ll",383,"Found",2005,23.39067,-9.94017,"Africa","Mauritania","MRT","greater than 100g"
"8785","sueilila","ll",13266,"Found",2005,24.63633,-14.71633,"Africa","Morocco","MAR","greater than 100g"
"8830","jiddat al harasis","r",12.4,"Found",2005,19.98505,56.41543,"Asia","Oman","OMN","10g to 100g"
"8831","jiddat al harasis","r",20.8,"Found",2005,19.9767,56.42015,"Asia","Oman","OMN","10g to 100g"
"8832","jiddat al harasis","h",2967,"Found",2005,19.96297,56.44587,"Asia","Oman","OMN","greater than 100g"
"8833","lucerne valley","l",13.15,"Found",2005,34.486,-116.97275,"North America","United States of America","USA","10g to 100g"
"8834","mughsayl","l",300,"Found",2005,16.9245,53.785,"Asia","Oman","OMN","greater than 100g"
